old,new
7806_001_S9_R1_001.fastq.gz,SMAY2450225_R1.fastq.gz
7806_001_S9_R2_001.fastq.gz,SMAY2450225_R2.fastq.gz
7806_002_S61_R1_001.fastq.gz,SMAY2450224_R1.fastq.gz
7806_002_S61_R2_001.fastq.gz,SMAY2450224_R2.fastq.gz
7806_003_S72_R1_001.fastq.gz,SMAY2450223_R1.fastq.gz
7806_003_S72_R2_001.fastq.gz,SMAY2450223_R2.fastq.gz
7806_004_S83_R1_001.fastq.gz,SMAY2450226_R1.fastq.gz
7806_004_S83_R2_001.fastq.gz,SMAY2450226_R2.fastq.gz
7806_005_S94_R1_001.fastq.gz,SMAY2450227_R1.fastq.gz
7806_005_S94_R2_001.fastq.gz,SMAY2450227_R2.fastq.gz
7806_006_S105_R1_001.fastq.gz,SMAY24551X_R1.fastq.gz
7806_006_S105_R2_001.fastq.gz,SMAY24551X_R2.fastq.gz
7806_007_S116_R1_001.fastq.gz,SMAY24551_R1.fastq.gz
7806_007_S116_R2_001.fastq.gz,SMAY24551_R2.fastq.gz
7806_008_S127_R1_001.fastq.gz,SMAY24551Z_R1.fastq.gz
7806_008_S127_R2_001.fastq.gz,SMAY24551Z_R2.fastq.gz
7806_009_S138_R1_001.fastq.gz,SMAY24551Y_R1.fastq.gz
7806_009_S138_R2_001.fastq.gz,SMAY24551Y_R2.fastq.gz
7806_010_S10_R1_001.fastq.gz,SMAY245N1_R1.fastq.gz
7806_010_S10_R2_001.fastq.gz,SMAY245N1_R2.fastq.gz
7806_011_S21_R1_001.fastq.gz,SMAY2450222_R1.fastq.gz
7806_011_S21_R2_001.fastq.gz,SMAY2450222_R2.fastq.gz
7806_012_S32_R1_001.fastq.gz,SMAY2450227_R1.fastq.gz
7806_012_S32_R2_001.fastq.gz,SMAY2450227_R2.fastq.gz
7806_013_S43_R1_001.fastq.gz,SMAY2480051_R1.fastq.gz
7806_013_S43_R2_001.fastq.gz,SMAY2480051_R2.fastq.gz
7806_014_S54_R1_001.fastq.gz,SJUNE17502211_R1.fastq.gz
7806_014_S54_R2_001.fastq.gz,SJUNE17502211_R2.fastq.gz
7806_015_S56_R1_001.fastq.gz,SJUNE17800552_R1.fastq.gz
7806_015_S56_R2_001.fastq.gz,SJUNE17800552_R2.fastq.gz
7806_016_S57_R1_001.fastq.gz,SJUNE17800554_R1.fastq.gz
7806_016_S57_R2_001.fastq.gz,SJUNE17800554_R2.fastq.gz
7806_017_S58_R1_001.fastq.gz,SJUNE17800553_R1.fastq.gz
7806_017_S58_R2_001.fastq.gz,SJUNE17800553_R2.fastq.gz
7806_018_S59_R1_001.fastq.gz,SJUNE17800551_R1.fastq.gz
7806_018_S59_R2_001.fastq.gz,SJUNE17800551_R2.fastq.gz
7806_019_S60_R1_001.fastq.gz,SJUNE17800022512_R1.fastq.gz
7806_019_S60_R2_001.fastq.gz,SJUNE17800022512_R2.fastq.gz
7806_020_S62_R1_001.fastq.gz,SJUNE17800531_R1.fastq.gz
7806_020_S62_R2_001.fastq.gz,SJUNE17800531_R2.fastq.gz
7806_021_S63_R1_001.fastq.gz,SJUNE1780002241_R1.fastq.gz
7806_021_S63_R2_001.fastq.gz,SJUNE1780002241_R2.fastq.gz
7806_022_S64_R1_001.fastq.gz,SJUNE17800521_R1.fastq.gz
7806_022_S64_R2_001.fastq.gz,SJUNE17800521_R2.fastq.gz
7806_023_S65_R1_001.fastq.gz,SJUNE17800541_R1.fastq.gz
7806_023_S65_R2_001.fastq.gz,SJUNE17800541_R2.fastq.gz
7806_024_S66_R1_001.fastq.gz,SJUNE17800N22_R1.fastq.gz
7806_024_S66_R2_001.fastq.gz,SJUNE17800N22_R2.fastq.gz
7806_025_S67_R1_001.fastq.gz,SJUNE17800N21_R1.fastq.gz
7806_025_S67_R2_001.fastq.gz,SJUNE17800N21_R2.fastq.gz
7806_026_S68_R1_001.fastq.gz,SJUNE1780002261_R1.fastq.gz
7806_026_S68_R2_001.fastq.gz,SJUNE1780002261_R2.fastq.gz
7806_027_S69_R1_001.fastq.gz,SJUNE17800N11_R1.fastq.gz
7806_027_S69_R2_001.fastq.gz,SJUNE17800N11_R2.fastq.gz
7806_028_S70_R1_001.fastq.gz,SJUNE1780002211_R1.fastq.gz
7806_028_S70_R2_001.fastq.gz,SJUNE1780002211_R2.fastq.gz
7806_029_S71_R1_001.fastq.gz,SJUNE1780002231_R1.fastq.gz
7806_029_S71_R2_001.fastq.gz,SJUNE1780002231_R2.fastq.gz
7806_030_S73_R1_001.fastq.gz,SJUNE175511_R1.fastq.gz
7806_030_S73_R2_001.fastq.gz,SJUNE175511_R2.fastq.gz
7806_031_S74_R1_001.fastq.gz,SJUNE178002251_R1.fastq.gz
7806_031_S74_R2_001.fastq.gz,SJUNE178002251_R2.fastq.gz
7806_032_S75_R1_001.fastq.gz,SJUNE1780002271_R1.fastq.gz
7806_032_S75_R2_001.fastq.gz,SJUNE1780002271_R2.fastq.gz
7806_033_S76_R1_001.fastq.gz,SJUNE175531_R1.fastq.gz
7806_033_S76_R2_001.fastq.gz,SJUNE175531_R2.fastq.gz
7806_034_S77_R1_001.fastq.gz,SJUNE17502222_R1.fastq.gz
7806_034_S77_R2_001.fastq.gz,SJUNE17502222_R2.fastq.gz
7806_035_S78_R1_001.fastq.gz,SJUNE175521_R1.fastq.gz
7806_035_S78_R2_001.fastq.gz,SJUNE175521_R2.fastq.gz
7806_036_S79_R1_001.fastq.gz,SJUNE17800532_R1.fastq.gz
7806_036_S79_R2_001.fastq.gz,SJUNE17800532_R2.fastq.gz
7806_037_S80_R1_001.fastq.gz,SJUNE17502212_R1.fastq.gz
7806_037_S80_R2_001.fastq.gz,SJUNE17502212_R2.fastq.gz
7806_038_S81_R1_001.fastq.gz,SJUNE175532_R1.fastq.gz
7806_038_S81_R2_001.fastq.gz,SJUNE175532_R2.fastq.gz
7806_039_S82_R1_001.fastq.gz,SJUNE17800511_R1.fastq.gz
7806_039_S82_R2_001.fastq.gz,SJUNE17800511_R2.fastq.gz
7806_040_S84_R1_001.fastq.gz,SJULY8000225_R1.fastq.gz
7806_040_S84_R2_001.fastq.gz,SJULY8000225_R2.fastq.gz
7806_041_S85_R1_001.fastq.gz,SJULY8000223_R1.fastq.gz
7806_041_S85_R2_001.fastq.gz,SJULY8000223_R2.fastq.gz
7806_042_S86_R1_001.fastq.gz,SJULY80053_R1.fastq.gz
7806_042_S86_R2_001.fastq.gz,SJULY80053_R2.fastq.gz
7806_043_S87_R1_001.fastq.gz,SJULY8000226_R1.fastq.gz
7806_043_S87_R2_001.fastq.gz,SJULY8000226_R2.fastq.gz
7806_044_S88_R1_001.fastq.gz,SJULY8000222_R1.fastq.gz
7806_044_S88_R2_001.fastq.gz,SJULY8000222_R2.fastq.gz
7806_045_S89_R1_001.fastq.gz,SJULY8000224_R1.fastq.gz
7806_045_S89_R2_001.fastq.gz,SJULY8000224_R2.fastq.gz
7806_046_S90_R1_001.fastq.gz,SJULY80051_R1.fastq.gz
7806_046_S90_R2_001.fastq.gz,SJULY80051_R2.fastq.gz
7806_047_S91_R1_001.fastq.gz,SJULY5512_R1.fastq.gz
7806_047_S91_R2_001.fastq.gz,SJULY5512_R2.fastq.gz
7806_048_S92_R1_001.fastq.gz,SJULY5522_R1.fastq.gz
7806_048_S92_R2_001.fastq.gz,SJULY5522_R2.fastq.gz
7806_049_S93_R1_001.fastq.gz,SJULY02252_R1.fastq.gz
7806_049_S93_R2_001.fastq.gz,SJULY02252_R2.fastq.gz
7806_050_S95_R1_001.fastq.gz,SJULY80052_R1.fastq.gz
7806_050_S95_R2_001.fastq.gz,SJULY80052_R2.fastq.gz
7806_051_S96_R1_001.fastq.gz,SJULY8000221_R1.fastq.gz
7806_051_S96_R2_001.fastq.gz,SJULY8000221_R2.fastq.gz
7806_052_S97_R1_001.fastq.gz,SJULY553_R1.fastq.gz
7806_052_S97_R2_001.fastq.gz,SJULY553_R2.fastq.gz
7806_053_S98_R1_001.fastq.gz,SJULY80054_R1.fastq.gz
7806_053_S98_R2_001.fastq.gz,SJULY80054_R2.fastq.gz
7806_054_S99_R1_001.fastq.gz,SAUGUST1424556_R1.fastq.gz
7806_054_S99_R2_001.fastq.gz,SAUGUST1424556_R2.fastq.gz
7806_055_S100_R1_001.fastq.gz,SAUGUST1480058_R1.fastq.gz
7806_055_S100_R2_001.fastq.gz,SAUGUST1480058_R2.fastq.gz
7806_056_S101_R1_001.fastq.gz,SAUGUST1424558_R1.fastq.gz
7806_056_S101_R2_001.fastq.gz,SAUGUST1424558_R2.fastq.gz
7806_057_S102_R1_001.fastq.gz,SAUGUST14800227_R1.fastq.gz
7806_057_S102_R2_001.fastq.gz,SAUGUST14800227_R2.fastq.gz
7806_058_S103_R1_001.fastq.gz,SAUGUST1424559_R1.fastq.gz
7806_058_S103_R2_001.fastq.gz,SAUGUST1424559_R2.fastq.gz
7806_059_S104_R1_001.fastq.gz,SAUGUST1480057_R1.fastq.gz
7806_059_S104_R2_001.fastq.gz,SAUGUST1480057_R2.fastq.gz
7806_060_S106_R1_001.fastq.gz,SAUGUST1424555_R1.fastq.gz
7806_060_S106_R2_001.fastq.gz,SAUGUST1424555_R2.fastq.gz
7806_061_S107_R1_001.fastq.gz,SAUGUST1450223_R1.fastq.gz
7806_061_S107_R2_001.fastq.gz,SAUGUST1450223_R2.fastq.gz
7806_062_S108_R1_001.fastq.gz,SAUGUST1450222_R1.fastq.gz
7806_062_S108_R2_001.fastq.gz,SAUGUST1450222_R2.fastq.gz
7806_063_S109_R1_001.fastq.gz,SAUGUST1450225_R1.fastq.gz
7806_063_S109_R2_001.fastq.gz,SAUGUST1450225_R2.fastq.gz
7806_064_S110_R1_001.fastq.gz,SAUGUST148000223_R1.fastq.gz
7806_064_S110_R2_001.fastq.gz,SAUGUST148000223_R2.fastq.gz
7806_065_S111_R1_001.fastq.gz,SAUGUST1480059_R1.fastq.gz
7806_065_S111_R2_001.fastq.gz,SAUGUST1480059_R2.fastq.gz
7806_066_S112_R1_001.fastq.gz,SAUGUST1480052_R1.fastq.gz
7806_066_S112_R2_001.fastq.gz,SAUGUST1480052_R2.fastq.gz
7806_067_S113_R1_001.fastq.gz,SAUGUST1480053_R1.fastq.gz
7806_067_S113_R2_001.fastq.gz,SAUGUST1480053_R2.fastq.gz
7806_068_S114_R1_001.fastq.gz,SAUGUST148000222_R1.fastq.gz
7806_068_S114_R2_001.fastq.gz,SAUGUST148000222_R2.fastq.gz
7806_069_S115_R1_001.fastq.gz,SAUGUST1424554_R1.fastq.gz
7806_069_S115_R2_001.fastq.gz,SAUGUST1424554_R2.fastq.gz
7806_070_S117_R1_001.fastq.gz,SAUGUST14800510_R1.fastq.gz
7806_070_S117_R2_001.fastq.gz,SAUGUST14800510_R2.fastq.gz
7806_071_S118_R1_001.fastq.gz,SAUGUST1450221_R1.fastq.gz
7806_071_S118_R2_001.fastq.gz,SAUGUST1450221_R2.fastq.gz
7806_072_S119_R1_001.fastq.gz,SAUGUST148000224_R1.fastq.gz
7806_072_S119_R2_001.fastq.gz,SAUGUST148000224_R2.fastq.gz
7806_073_S120_R1_001.fastq.gz,SAUGUST1480056_R1.fastq.gz
7806_073_S120_R2_001.fastq.gz,SAUGUST1480056_R2.fastq.gz
7806_074_S121_R1_001.fastq.gz,SAUGUST148000225_R1.fastq.gz
7806_074_S121_R2_001.fastq.gz,SAUGUST148000225_R2.fastq.gz
7806_075_S122_R1_001.fastq.gz,SAUGUST14245510_R1.fastq.gz
7806_075_S122_R2_001.fastq.gz,SAUGUST14245510_R2.fastq.gz
7806_076_S123_R1_001.fastq.gz,SAUGUST1424553_R1.fastq.gz
7806_076_S123_R2_001.fastq.gz,SAUGUST1424553_R2.fastq.gz
7806_077_S124_R1_001.fastq.gz,SAUGUST148000226_R1.fastq.gz
7806_077_S124_R2_001.fastq.gz,SAUGUST148000226_R2.fastq.gz
7806_078_S125_R1_001.fastq.gz,SAUGUST148000221_R1.fastq.gz
7806_078_S125_R2_001.fastq.gz,SAUGUST148000221_R2.fastq.gz
7806_079_S126_R1_001.fastq.gz,SDEC50223_R1.fastq.gz
7806_079_S126_R2_001.fastq.gz,SDEC50223_R2.fastq.gz
7806_080_S128_R1_001.fastq.gz,SAUGUST1450224_R1.fastq.gz
7806_080_S128_R2_001.fastq.gz,SAUGUST1450224_R2.fastq.gz
7806_081_S129_R1_001.fastq.gz,SAUGUST1480055_R1.fastq.gz
7806_081_S129_R2_001.fastq.gz,SAUGUST1480055_R2.fastq.gz
7806_082_S130_R1_001.fastq.gz,SAUGUST148000228_R1.fastq.gz
7806_082_S130_R2_001.fastq.gz,SAUGUST148000228_R2.fastq.gz
7806_083_S131_R1_001.fastq.gz,SSEP1124553_R1.fastq.gz
7806_083_S131_R2_001.fastq.gz,SSEP1124553_R2.fastq.gz
7806_084_S132_R1_001.fastq.gz,SSEP112450226_R1.fastq.gz
7806_084_S132_R2_001.fastq.gz,SSEP112450226_R2.fastq.gz
7806_085_S133_R1_001.fastq.gz,SSEP11248000226_R1.fastq.gz
7806_085_S133_R2_001.fastq.gz,SSEP11248000226_R2.fastq.gz
7806_086_S134_R1_001.fastq.gz,SSEP112480053_R1.fastq.gz
7806_086_S134_R2_001.fastq.gz,SSEP112480053_R2.fastq.gz
7806_087_S135_R1_001.fastq.gz,SSEP112480051_R1.fastq.gz
7806_087_S135_R2_001.fastq.gz,SSEP112480051_R2.fastq.gz
7806_088_S136_R1_001.fastq.gz,SSEP112450227_R1.fastq.gz
7806_088_S136_R2_001.fastq.gz,SSEP112450227_R2.fastq.gz
7806_089_S137_R1_001.fastq.gz,SSEP112450222_R1.fastq.gz
7806_089_S137_R2_001.fastq.gz,SSEP112450222_R2.fastq.gz
7806_090_S139_R1_001.fastq.gz,SSEP11248000223_R1.fastq.gz
7806_090_S139_R2_001.fastq.gz,SSEP11248000223_R2.fastq.gz
7806_091_S140_R1_001.fastq.gz,SSEP112480000225_R1.fastq.gz
7806_091_S140_R2_001.fastq.gz,SSEP112480000225_R2.fastq.gz
7806_092_S141_R1_001.fastq.gz,SSEP11248000224_R1.fastq.gz
7806_092_S141_R2_001.fastq.gz,SSEP11248000224_R2.fastq.gz
7806_093_S142_R1_001.fastq.gz,SSEP112450225_R1.fastq.gz
7806_093_S142_R2_001.fastq.gz,SSEP112450225_R2.fastq.gz
7806_094_S143_R1_001.fastq.gz,SOCT50224_R1.fastq.gz
7806_094_S143_R2_001.fastq.gz,SOCT50224_R2.fastq.gz
7806_095_S144_R1_001.fastq.gz,SOCT50221_R1.fastq.gz
7806_095_S144_R2_001.fastq.gz,SOCT50221_R2.fastq.gz
7806_096_S145_R1_001.fastq.gz,SOCT50222_R1.fastq.gz
7806_096_S145_R2_001.fastq.gz,SOCT50222_R2.fastq.gz
7806_097_S146_R1_001.fastq.gz,SOCT50225_R1.fastq.gz
7806_097_S146_R2_001.fastq.gz,SOCT50225_R2.fastq.gz
7806_098_S147_R1_001.fastq.gz,SNOV80055_R1.fastq.gz
7806_098_S147_R2_001.fastq.gz,SNOV80055_R2.fastq.gz
7806_099_S148_R1_001.fastq.gz,SNOV80057_R1.fastq.gz
7806_099_S148_R2_001.fastq.gz,SNOV80057_R2.fastq.gz
7806_100Reseq_S4_R1_001.fastq.gz,SNOV552_R1.fastq.gz
7806_100Reseq_S4_R2_001.fastq.gz,SNOV552_R2.fastq.gz
7806_101_S12_R1_001.fastq.gz,SNOV50227_R1.fastq.gz
7806_101_S12_R2_001.fastq.gz,SNOV50227_R2.fastq.gz
7806_102_S13_R1_001.fastq.gz,SNOV80053_R1.fastq.gz
7806_102_S13_R2_001.fastq.gz,SNOV80053_R2.fastq.gz
7806_103Reseq_S5_R1_001.fastq.gz,SNOV80056_R1.fastq.gz
7806_103Reseq_S5_R2_001.fastq.gz,SNOV80056_R2.fastq.gz
7806_104_S15_R1_001.fastq.gz,SNOV50226_R1.fastq.gz
7806_104_S15_R2_001.fastq.gz,SNOV50226_R2.fastq.gz
7806_105_S16_R1_001.fastq.gz,SNOV800226_R1.fastq.gz
7806_105_S16_R2_001.fastq.gz,SNOV800226_R2.fastq.gz
7806_106_S17_R1_001.fastq.gz,SNOV555_R1.fastq.gz
7806_106_S17_R2_001.fastq.gz,SNOV555_R2.fastq.gz
7806_107_S18_R1_001.fastq.gz,SNOV50224_R1.fastq.gz
7806_107_S18_R2_001.fastq.gz,SNOV50224_R2.fastq.gz
7806_108_S19_R1_001.fastq.gz,SNOV80010_R1.fastq.gz
7806_108_S19_R2_001.fastq.gz,SNOV80010_R2.fastq.gz
7806_109_S20_R1_001.fastq.gz,SNOV80051_R1.fastq.gz
7806_109_S20_R2_001.fastq.gz,SNOV80051_R2.fastq.gz
7806_110_S22_R1_001.fastq.gz,SNOV80054_R1.fastq.gz
7806_110_S22_R2_001.fastq.gz,SNOV80054_R2.fastq.gz
7806_111Reseq_S6_R1_001.fastq.gz,SNOV553_R1.fastq.gz
7806_111Reseq_S6_R2_001.fastq.gz,SNOV553_R2.fastq.gz
7806_112_S24_R1_001.fastq.gz,SNOV50221_R1.fastq.gz
7806_112_S24_R2_001.fastq.gz,SNOV50221_R2.fastq.gz
7806_113Reseq_S7_R1_001.fastq.gz,SNOV50223_R1.fastq.gz
7806_113Reseq_S7_R2_001.fastq.gz,SNOV50223_R2.fastq.gz
7806_114_S26_R1_001.fastq.gz,SNOC800228_R1.fastq.gz
7806_114_S26_R2_001.fastq.gz,SNOC800228_R2.fastq.gz
7806_115Reseq_S8_R1_001.fastq.gz,SNOV50225_R1.fastq.gz
7806_115Reseq_S8_R2_001.fastq.gz,SNOV50225_R2.fastq.gz
7806_116_S28_R1_001.fastq.gz,SNOV800222_R1.fastq.gz
7806_116_S28_R2_001.fastq.gz,SNOV800222_R2.fastq.gz
7806_117_S29_R1_001.fastq.gz,SNOV800224_R1.fastq.gz
7806_117_S29_R2_001.fastq.gz,SNOV800224_R2.fastq.gz
7806_118_S30_R1_001.fastq.gz,SNOV80058_R1.fastq.gz
7806_118_S30_R2_001.fastq.gz,SNOV80058_R2.fastq.gz
7806_119_S31_R1_001.fastq.gz,SNOV800225_R1.fastq.gz
7806_119_S31_R2_001.fastq.gz,SNOV800225_R2.fastq.gz
7806_120_S33_R1_001.fastq.gz,SDEC50227_R1.fastq.gz
7806_120_S33_R2_001.fastq.gz,SDEC50227_R2.fastq.gz
7806_121_S34_R1_001.fastq.gz,SDEC557_R1.fastq.gz
7806_121_S34_R2_001.fastq.gz,SDEC557_R2.fastq.gz
7806_122_S35_R1_001.fastq.gz,SDEC50225_R1.fastq.gz
7806_122_S35_R2_001.fastq.gz,SDEC50225_R2.fastq.gz
7806_123Reseq_S9_R1_001.fastq.gz,SDEC85053_R1.fastq.gz
7806_123Reseq_S9_R2_001.fastq.gz,SDEC85053_R2.fastq.gz
7806_124_S37_R1_001.fastq.gz,SDEC8500223_R1.fastq.gz
7806_124_S37_R2_001.fastq.gz,SDEC8500223_R2.fastq.gz
7806_125Reseq_S10_R1_001.fastq.gz,SDEC8500227_R1.fastq.gz
7806_125Reseq_S10_R2_001.fastq.gz,SDEC8500227_R2.fastq.gz
7806_126_S39_R1_001.fastq.gz,SDEC8500225_R1.fastq.gz
7806_126_S39_R2_001.fastq.gz,SDEC8500225_R2.fastq.gz
7806_127Reseq_S11_R1_001.fastq.gz,SDEC8500221_R1.fastq.gz
7806_127Reseq_S11_R2_001.fastq.gz,SDEC8500221_R2.fastq.gz
7806_128Reseq_S12_R1_001.fastq.gz,SDEC556_R1.fastq.gz
7806_128Reseq_S12_R2_001.fastq.gz,SDEC556_R2.fastq.gz
7806_129Reseq_S13_R1_001.fastq.gz,SDEC50224_R1.fastq.gz
7806_129Reseq_S13_R2_001.fastq.gz,SDEC50224_R2.fastq.gz
7806_130_S44_R1_001.fastq.gz,SDEC8500228_R1.fastq.gz
7806_130_S44_R2_001.fastq.gz,SDEC8500228_R2.fastq.gz
7806_131Reseq_S14_R1_001.fastq.gz,SDEC850054_R1.fastq.gz
7806_131Reseq_S14_R2_001.fastq.gz,SDEC850054_R2.fastq.gz
7806_132_S46_R1_001.fastq.gz,SDEC850226_R1.fastq.gz
7806_132_S46_R2_001.fastq.gz,SDEC850226_R2.fastq.gz
7806_133_S47_R1_001.fastq.gz,SDEC850056_R1.fastq.gz
7806_133_S47_R2_001.fastq.gz,SDEC850056_R2.fastq.gz
7806_134_S48_R1_001.fastq.gz,SDEC850052_R1.fastq.gz
7806_134_S48_R2_001.fastq.gz,SDEC850052_R2.fastq.gz
7806_135Reseq_S15_R1_001.fastq.gz,SDEC8500224_R1.fastq.gz
7806_135Reseq_S15_R2_001.fastq.gz,SDEC8500224_R2.fastq.gz
7806_136_S50_R1_001.fastq.gz,SDEC850051_R1.fastq.gz
7806_136_S50_R2_001.fastq.gz,SDEC850051_R2.fastq.gz
7806_137Reseq_S16_R1_001.fastq.gz,SDEC8500222_R1.fastq.gz
7806_137Reseq_S16_R2_001.fastq.gz,SDEC8500222_R2.fastq.gz
7806_138_S52_R1_001.fastq.gz,SDEC555_R1.fastq.gz
7806_138_S52_R2_001.fastq.gz,SDEC555_R2.fastq.gz
7806_139_S53_R1_001.fastq.gz,SDEC85055_R1.fastq.gz
7806_139_S53_R2_001.fastq.gz,SDEC85055_R2.fastq.gz
7806_140_S55_R1_001.fastq.gz,SSEP112450223_R1.fastq.gz
7806_140_S55_R2_001.fastq.gz,SSEP112450223_R2.fastq.gz
